"NAME","Age_Range","Total","year"
"Iowa","total",885969,2006
"Iowa","15.to.24.years",21192,2006
"Iowa","25.to.34.years",110078,2006
"Iowa","35.to.44.years",164852,2006
"Iowa","45.to.54.years",203446,2006
"Iowa","55.to.59.years",91572,2006
"Iowa","60.to.64.years",70604,2006
"Iowa","65.to.74.years",110902,2006
"Iowa","75.to.84.years",85974,2006
"Iowa","85.years.and.over",27349,2006
"Kansas","total",761022,2006
"Kansas","15.to.24.years",16435,2006
"Kansas","25.to.34.years",89432,2006
"Kansas","35.to.44.years",149696,2006
"Kansas","45.to.54.years",184650,2006
"Kansas","55.to.59.years",80291,2006
"Kansas","60.to.64.years",59092,2006
"Kansas","65.to.74.years",89300,2006
"Kansas","75.to.84.years",68345,2006
"Kansas","85.years.and.over",23781,2006
"Kentucky","total",1167081,2006
"Kentucky","15.to.24.years",17749,2006
"Kentucky","25.to.34.years",137982,2006
"Kentucky","35.to.44.years",229663,2006
"Kentucky","45.to.54.years",271355,2006
"Kentucky","55.to.59.years",125237,2006
"Kentucky","60.to.64.years",104125,2006
"Kentucky","65.to.74.years",151774,2006
"Kentucky","75.to.84.years",98181,2006
"Kentucky","85.years.and.over",31015,2006
"Louisiana","total",1071667,2006
