"GEOID","NAME","year","med_incomeE","med_rentE","region_group","region_name","rent_to_income_ratio"
72,"Puerto Rico",2011,18660,442,11,"Puerto Rico",0.284
1,"Alabama",2012,41574,689,4,"Southeast",0.199
2,"Alaska",2012,67712,1120,10,"Pacific Northwest",0.198
4,"Arizona",2012,47826,888,9,"Pacific Southwest",0.223
5,"Arkansas",2012,40112,640,6,"South Central",0.191
6,"California",2012,58328,1200,9,"Pacific Southwest",0.247
8,"Colorado",2012,56765,934,8,"Mountain North",0.197
10,"Delaware",2012,58415,960,3,"Mid-Atlantic",0.197
11,"District of Columbia",2012,66583,1235,3,"Mid-Atlantic",0.223
9,"Connecticut",2012,67276,1019,1,"New England",0.182
12,"Florida",2012,45040,954,4,"Southeast",0.254
13,"Georgia",2012,47209,837,4,"Southeast",0.213
16,"Idaho",2012,45489,702,10,"Pacific Northwest",0.185
15,"Hawaii",2012,66259,1379,9,"Pacific Southwest",0.25
17,"Illinois",2012,55137,868,5,"Great Lakes",0.189
18,"Indiana",2012,46974,715,5,"Great Lakes",0.183
19,"Iowa",2012,50957,661,7,"Central Plains",0.156
20,"Kansas",2012,50241,711,7,"Central Plains",0.17
21,"Kentucky",2012,41724,636,4,"Southeast",0.183
22,"Louisiana",2012,42944,747,6,"South Central",0.209
23,"Maine",2012,46709,744,1,"New England",0.191
24,"Maryland",2012,71122,1170,3,"Mid-Atlantic",0.197
25,"Massachusetts",2012,65339,1036,1,"New England",0.19
26,"Michigan",2012,46859,748,5,"Great Lakes",0.192
27,"Minnesota",2012,58906,813,5,"Great Lakes",0.166
28,"Mississippi",2012,37095,666,4,"Southeast",0.215
29,"Missouri",2012,45321,706,7,"Central Plains",0.187
30,"Montana",2012,45076,681,8,"Mountain North",0.181
31,"Nebraska",2012,50723,692,7,"Central Plains",0.164
32,"Nevada",2012,49760,944,9,"Pacific Southwest",0.228
33,"New Hampshire",2012,63280,967,1,"New England",0.183
34,"New Jersey",2012,69667,1148,2,"New York–New Jersey",0.198
35,"New Mexico",2012,42558,753,6,"South Central",0.212
36,"New York",2012,56448,1079,2,"New York–New Jersey",0.229
37,"North Carolina",2012,45150,756,4,"Southeast",0.201
38,"North Dakota",2012,53585,644,8,"Mountain North",0.144
39,"Ohio",2012,46829,700,5,"Great Lakes",0.179
40,"Oklahoma",2012,44312,686,6,"South Central",0.186
41,"Oregon",2012,49161,862,10,"Pacific Northwest",0.21
42,"Pennsylvania",2012,51230,798,3,"Mid-Atlantic",0.187
44,"Rhode Island",2012,54554,878,1,"New England",0.193
45,"South Carolina",2012,43107,754,4,"Southeast",0.21
46,"South Dakota",2012,48362,651,8,"Mountain North",0.162
47,"Tennessee",2012,42764,730,4,"Southeast",0.205
48,"Texas",2012,50740,831,6,"South Central",0.197
50,"Vermont",2012,52977,860,1,"New England",0.195
49,"Utah",2012,57049,851,8,"Mountain North",0.179
51,"Virginia",2012,61741,1068,3,"Mid-Atlantic",0.208
53,"Washington",2012,57573,954,10,"Pacific Northwest",0.199
54,"West Virginia",2012,40196,607,3,"Mid-Atlantic",0.181
55,"Wisconsin",2012,51059,743,5,"Great Lakes",0.175
56,"Wyoming",2012,54901,742,8,"Mountain North",0.162
72,"Puerto Rico",2012,19429,448,11,"Puerto Rico",0.277
28,"Mississippi",2013,37963,708,4,"Southeast",0.224
29,"Missouri",2013,46931,734,7,"Central Plains",0.188
30,"Montana",2013,46972,690,8,"Mountain North",0.176
31,"Nebraska",2013,51440,714,7,"Central Plains",0.167
32,"Nevada",2013,51230,952,9,"Pacific Southwest",0.223
33,"New Hampshire",2013,64230,995,1,"New England",0.186
34,"New Jersey",2013,70165,1171,2,"New York–New Jersey",0.2
35,"New Mexico",2013,43872,772,6,"South Central",0.211
36,"New York",2013,57369,1109,2,"New York–New Jersey",0.232
37,"North Carolina",2013,45906,778,4,"Southeast",0.203
38,"North Dakota",2013,55759,690,8,"Mountain North",0.148
